t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784827440229,9,A,A3,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784827554793,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=62;outcome=correct_reject;rt_ms=502
1784827554798,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=63;kind=nogo;shape=triangle
1784827556627,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=63;outcome=correct_reject;rt_ms=459
1784827556632,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=64;kind=nogo;shape=circle
1784827558452,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=64;outcome=correct_reject;rt_ms=472
1784827558457,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=65;kind=go;shape=circle
1784827560259,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=65;outcome=hit;rt_ms=625
1784827560265,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=66;kind=nogo;shape=diamond
1784827562093,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=66;outcome=correct_reject;rt_ms=479
1784827562098,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=67;kind=nogo;shape=triangle
1784827563908,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=67;outcome=correct_reject;rt_ms=442
1784827563913,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=68;kind=nogo;shape=circle
1784827565726,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=68;outcome=correct_reject;rt_ms=585
1784827565731,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=69;kind=go;shape=circle
1784827567561,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=69;outcome=hit;rt_ms=403
1784827567567,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=70;kind=nogo;shape=triangle
1784827569394,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=70;outcome=correct_reject;rt_ms=508
1784827569399,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=71;kind=nogo;shape=circle
1784827571214,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=71;outcome=correct_reject;rt_ms=448
1784827571219,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=72;kind=go;shape=circle
1784827573025,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=72;outcome=hit;rt_ms=431
1784827573031,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=73;kind=nogo;shape=square
1784827574832,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=73;outcome=correct_reject;rt_ms=481
1784827574838,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=74;kind=go;shape=square
1784827576654,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=74;outcome=hit;rt_ms=506
1784827576659,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=75;kind=nogo;shape=diamond
1784827578460,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=75;outcome=correct_reject;rt_ms=452
1784827578466,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=76;kind=go;shape=diamond
1784827580267,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=76;outcome=hit;rt_ms=484
1784827580272,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=77;kind=nogo;shape=circle
1784827582095,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=77;outcome=correct_reject;rt_ms=496
1784827582101,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=78;kind=go;shape=circle
1784827583914,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=78;outcome=hit;rt_ms=435
